usuario_id,usuario_sexo,usuario_edad,fecha_alta,hora_alta
615368,M,19,01/11/2018,5:58:09
615370,M,35,18/09/2018,5:57:25
615371,F,29,27/11/2018,5:58:35
615376,M,58,26/09/2018,5:57:33
615378,F,32,18/09/2018,5:57:25
615380,M,28,18/09/2018,5:57:25
615388,F,51,26/09/2018,5:57:33
615389,M,33,24/09/2018,5:57:31
615397,F,41,18/09/2018,5:57:25
615398,M,37,18/09/2018,5:57:25
615400,M,24,18/09/2018,5:57:25
492998,M,26,02/01/2018,5:53:06
493001,F,19,10/03/2018,5:54:13
493005,F,33,15/02/2018,5:53:50
493011,F,33,04/02/2018,5:53:39
493020,F,26,10/01/2018,5:53:14
493024,M,22,25/01/2018,5:53:29
671476,M,25,27/12/2018,5:59:05
671477,M,24,28/12/2018,5:59:06
671483,M,39,27/12/2018,5:59:05
671484,F,54,27/12/2018,5:59:05
671487,M,31,27/12/2018,5:59:05
671496,M,32,27/12/2018,5:59:05
671502,M,28,27/12/2018,5:59:05
672150,F,22,28/12/2018,5:59:06
672155,F,21,28/12/2018,5:59:06
672162,F,25,28/12/2018,5:59:06
592262,M,32,15/08/2018,5:56:51
592264,F,22,08/10/2018,5:57:45
592267,F,27,16/08/2018,5:56:52
592271,F,38,15/08/2018,5:56:51
592274,F,27,01/10/2018,5:57:38
630616,F,18,08/10/2018,5:57:45
630617,F,22,08/10/2018,5:57:45
630623,M,20,08/10/2018,5:57:45
630625,M,28,08/10/2018,5:57:45
630627,M,22,08/10/2018,5:57:45
630628,M,53,08/10/2018,5:57:45
630631,M,46,13/10/2018,5:57:50
630633,F,29,08/10/2018,5:57:45
630635,M,22,08/10/2018,5:57:45
630636,M,30,08/10/2018,5:57:45
630637,F,41,08/10/2018,5:57:45
630640,F,27,11/10/2018,5:57:48
630642,F,26,10/10/2018,5:57:47
630643,F,27,24/10/2018,5:58:01
630644,M,48,08/10/2018,5:57:45
630646,M,29,02/11/2018,5:58:10
630647,F,48,08/10/2018,5:57:45
630649,M,27,10/10/2018,5:57:47
630650,F,23,11/10/2018,5:57:48
630654,M,41,08/10/2018,5:57:45
630655,F,50,10/10/2018,5:57:47
631837,F,44,10/10/2018,5:57:47
631841,M,51,10/10/2018,5:57:47
631861,M,23,10/10/2018,5:57:47
631864,M,40,11/10/2018,5:57:48
631866,M,18,10/10/2018,5:57:47
631870,F,40,10/10/2018,5:57:47
631876,M,17,10/10/2018,5:57:47
631879,F,21,10/10/2018,5:57:47
631890,M,52,10/10/2018,5:57:47
631898,M,40,12/10/2018,5:57:49
631903,M,49,10/10/2018,5:57:47
